"","Year","Month","Count"
"1",2003,"Jan",355
"2",2003,"Jan",403
"3",2003,"Jan",383
"4",2003,"Jan",336
"6",2003,"Feb",354
"7",2003,"Feb",355
"8",2003,"Feb",328
"11",2003,"Mar",390
"12",2003,"Mar",388
"13",2003,"Mar",364
"14",2003,"Mar",384
"15",2003,"Mar",401
"16",2003,"Apr",240
"17",2003,"Apr",339
"18",2003,"Apr",721
"19",2003,"Apr",395
"21",2003,"May",405
"23",2003,"May",389
"24",2003,"May",374
"26",2003,"June",369
"27",2003,"June",354
"28",2003,"June",377
"29",2003,"June",434
"30",2003,"June",339
"31",2003,"July",325
"32",2003,"July",357
"33",2003,"July",419
"34",2003,"July",340
"36",2003,"Aug",386
"37",2003,"Aug",379
"38",2003,"Aug",477
"39",2003,"Aug",433
"40",2003,"Aug",412
"41",2003,"Sept",525
"42",2003,"Sept",518
"43",2003,"Sept",484
"44",2003,"Sept",452
"46",2003,"Oct",451
"47",2003,"Oct",446
"48",2003,"Oct",493
"49",2003,"Oct",468
"51",2003,"Nov",540
"52",2003,"Nov",540
"53",2003,"Nov",476
"54",2003,"Nov",502
"55",2003,"Nov",507
"56",2003,"Dec",476
"57",2003,"Dec",493
"58",2003,"Dec",476
"59",2003,"Dec",387
"61",2004,"Jan",438
"62",2004,"Jan",532
"63",2004,"Jan",517
"64",2004,"Jan",551
"66",2004,"Feb",506
"67",2004,"Feb",537
"68",2004,"Feb",522
"69",2004,"Feb",519
"70",2004,"Feb",552
"71",2004,"Mar",505
"72",2004,"Mar",568
"73",2004,"Mar",585
"74",2004,"Mar",560
"76",2004,"Apr",550
"77",2004,"Apr",871
"78",2004,"Apr",573
"79",2004,"Apr",502
"81",2004,"May",549
"82",2004,"May",531
"83",2004,"May",513
"84",2004,"May",510
"85",2004,"May",461
"86",2004,"June",560
"87",2004,"June",468
"88",2004,"June",503
"89",2004,"June",503
"91",2004,"July",441
"92",2004,"July",469
"93",2004,"July",549
"94",2004,"July",438
"96",2004,"Aug",485
"98",2004,"Aug",516
"99",2004,"Aug",512
"100",2004,"Aug",568
"101",2004,"Sept",499
"102",2004,"Sept",562
"103",2004,"Sept",538
"104",2004,"Sept",474
"106",2004,"Oct",545
"107",2004,"Oct",553
"108",2004,"Oct",522
"109",2004,"Oct",531
"110",2004,"Oct",588
"111",2004,"Nov",485
"112",2004,"Nov",537
"113",2004,"Nov",535
"114",2004,"Nov",507
"116",2004,"Dec",495
"117",2004,"Dec",506
"118",2004,"Dec",541
"119",2004,"Dec",403
"121",2005,"Jan",543
"122",2005,"Jan",565
"123",2005,"Jan",555
"124",2005,"Jan",299
"125",2005,"Jan",525
"126",2005,"Feb",594
"127",2005,"Feb",568
"128",2005,"Feb",580
"129",2005,"Feb",596
"131",2005,"Mar",601
"132",2005,"Mar",618
"133",2005,"Mar",661
"134",2005,"Mar",853
"136",2005,"Apr",518
"137",2005,"Apr",634
"138",2005,"Apr",641
"139",2005,"Apr",585
"141",2005,"May",574
"142",2005,"May",645
"143",2005,"May",584
"144",2005,"May",606
"145",2005,"May",590
"146",2005,"June",622
"147",2005,"June",524
"148",2005,"June",502
"152",2005,"July",464
"153",2005,"July",526
"154",2005,"July",486
"155",2005,"July",462
"156",2005,"Aug",476
"157",2005,"Aug",488
"158",2005,"Aug",497
"159",2005,"Aug",523
"161",2005,"Sept",536
"162",2005,"Sept",559
"163",2005,"Sept",581
"164",2005,"Sept",538
"166",2005,"Oct",480
"167",2005,"Oct",574
"168",2005,"Oct",596
"169",2005,"Oct",610
"170",2005,"Oct",607
"171",2005,"Nov",574
"172",2005,"Nov",644
"173",2005,"Nov",612
"174",2005,"Nov",556
"176",2005,"Dec",549
"177",2005,"Dec",581
"178",2005,"Dec",652
"179",2005,"Dec",338
"181",2006,"Jan",433
"182",2006,"Jan",680
"183",2006,"Jan",622
"184",2006,"Jan",650
"185",2006,"Jan",616
"186",2006,"Feb",478
"187",2006,"Feb",591
"188",2006,"Feb",626
"189",2006,"Feb",590
"191",2006,"Mar",567
"192",2006,"Mar",582
"193",2006,"Mar",653
"194",2006,"Mar",581
"196",2006,"Apr",553
"197",2006,"Apr",568
"198",2006,"Apr",872
"199",2006,"Apr",614
"200",2006,"Apr",811
"201",2006,"May",818
"202",2006,"May",737
"203",2006,"May",684
"204",2006,"May",625
"206",2006,"June",667
"207",2006,"June",607
"208",2006,"June",661
"209",2006,"June",635
"211",2006,"July",576
"212",2006,"July",632
"213",2006,"July",649
"214",2006,"July",616
"215",2006,"July",609
"216",2006,"Aug",684
"217",2006,"Aug",626
"218",2006,"Aug",601
"219",2006,"Aug",667
"221",2006,"Sept",599
"222",2006,"Sept",682
"223",2006,"Sept",654
"224",2006,"Sept",677
"226",2006,"Oct",720
"227",2006,"Oct",620
"228",2006,"Oct",684
"229",2006,"Oct",760
"230",2006,"Oct",656
"231",2006,"Nov",674
"232",2006,"Nov",707
"233",2006,"Nov",658
"234",2006,"Nov",806
"236",2006,"Dec",705
"237",2006,"Dec",788
"238",2006,"Dec",736
"239",2006,"Dec",748
"240",2006,"Dec",717
"241",2007,"Jan",726
"242",2007,"Jan",726
"243",2007,"Jan",696
"244",2007,"Jan",743
"246",2007,"Feb",672
"247",2007,"Feb",713
"248",2007,"Feb",743
"249",2007,"Feb",661
"251",2007,"Mar",811
"252",2007,"Mar",746
"253",2007,"Mar",802
"254",2007,"Mar",806
"256",2007,"Apr",714
"257",2007,"Apr",1077
"258",2007,"Apr",796
"259",2007,"Apr",802
"260",2007,"Apr",785
"261",2007,"May",743
"262",2007,"May",789
"263",2007,"May",779
"264",2007,"May",676
"266",2007,"June",746
"267",2007,"June",722
"268",2007,"June",645
"269",2007,"June",656
"271",2007,"July",702
"272",2007,"July",664
"273",2007,"July",711
"274",2007,"July",710
"275",2007,"July",734
"276",2007,"Aug",665
"277",2007,"Aug",750
"278",2007,"Aug",702
"279",2007,"Aug",749
"281",2007,"Sept",719
"282",2007,"Sept",778
"283",2007,"Sept",760
"284",2007,"Sept",837
"285",2007,"Sept",761
"286",2007,"Oct",753
"287",2007,"Oct",754
"288",2007,"Oct",817
"289",2007,"Oct",736
"291",2007,"Nov",774
"292",2007,"Nov",758
"293",2007,"Nov",869
"294",2007,"Nov",797
"296",2007,"Dec",769
"297",2007,"Dec",705
"299",2007,"Dec",834
"300",2007,"Dec",835
"301",2008,"Jan",832
"302",2008,"Jan",893
"303",2008,"Jan",813
"304",2008,"Jan",893
"306",2008,"Feb",865
"307",2008,"Feb",760
"308",2008,"Feb",805
"309",2008,"Feb",850
"311",2008,"Mar",865
"312",2008,"Mar",585
"313",2008,"Mar",1026
"314",2008,"Mar",1213
"315",2008,"Mar",902
"316",2008,"Apr",1009
"317",2008,"Apr",1017
"318",2008,"Apr",884
"319",2008,"Apr",894
"321",2008,"May",918
"322",2008,"May",938
"323",2008,"May",943
"324",2008,"May",842
"326",2008,"June",924
"327",2008,"June",871
"328",2008,"June",836
"329",2008,"June",799
"330",2008,"June",806
"331",2008,"July",767
"332",2008,"July",833
"333",2008,"July",984
"334",2008,"July",835
"336",2008,"Aug",812
"337",2008,"Aug",851
"338",2008,"Aug",847
"339",2008,"Aug",939
"340",2008,"Aug",829
"341",2008,"Sept",884
"342",2008,"Sept",886
"343",2008,"Sept",931
"344",2008,"Sept",963
"346",2008,"Oct",910
"347",2008,"Oct",840
"348",2008,"Oct",879
"349",2008,"Oct",894
"351",2008,"Nov",964
"352",2008,"Nov",1017
"353",2008,"Nov",985
"354",2008,"Nov",939
"355",2008,"Nov",955
"356",2008,"Dec",931
"357",2008,"Dec",903
"358",2008,"Dec",888
"359",2008,"Dec",846
"361",2009,"Jan",991
"362",2009,"Jan",867
"363",2009,"Jan",890
"364",2009,"Jan",1000
"366",2009,"Feb",958
"367",2009,"Feb",977
"368",2009,"Feb",963
"369",2009,"Feb",903
"371",2009,"Mar",959
"372",2009,"Mar",871
"373",2009,"Mar",1034
"374",2009,"Mar",1096
"375",2009,"Mar",983
"376",2009,"Apr",1022
"377",2009,"Apr",1657
"378",2009,"Apr",1076
"379",2009,"Apr",942
"381",2009,"May",959
"382",2009,"May",1039
"383",2009,"May",1045
"384",2009,"May",837
"385",2009,"May",965
"386",2009,"June",860
"387",2009,"June",866
"388",2009,"June",898
"389",2009,"June",1013
"391",2009,"July",750
"392",2009,"July",816
"393",2009,"July",887
"394",2009,"July",872
"396",2009,"Aug",796
"397",2009,"Aug",946
"398",2009,"Aug",917
"399",2009,"Aug",920
"400",2009,"Aug",1004
"401",2009,"Sept",851
"402",2009,"Sept",946
"403",2009,"Sept",1025
"404",2009,"Sept",925
"406",2009,"Oct",910
"407",2009,"Oct",857
"408",2009,"Oct",871
"409",2009,"Oct",893
"411",2009,"Nov",1007
"412",2009,"Nov",986
"413",2009,"Nov",990
"414",2009,"Nov",966
"415",2009,"Nov",1004
"416",2009,"Dec",1043
"417",2009,"Dec",934
"418",2009,"Dec",1218
"419",2009,"Dec",875
"421",2010,"Jan",1014
"422",2010,"Jan",966
"423",2010,"Jan",1034
"424",2010,"Jan",1058
"425",2010,"Jan",1023
"426",2010,"Feb",899
"427",2010,"Feb",999
"428",2010,"Feb",1064
"429",2010,"Feb",1006
"431",2010,"Mar",1000
"432",2010,"Mar",971
"433",2010,"Mar",974
"434",2010,"Mar",950
"436",2010,"Apr",1722
"437",2010,"Apr",1015
"438",2010,"Apr",1012
"439",2010,"Apr",1023
