Month,Day,Year,Houston,Raleigh
1,1,1995,52.2,48.6
1,2,1995,38.5,45.5
1,3,1995,42,31.4
1,4,1995,41.2,33.9
1,5,1995,37.2,27.4
1,6,1995,52.1,27.4
1,7,1995,51.8,48.5
1,8,1995,51,37.9
1,9,1995,62.4,39.3
1,10,1995,68.7,41.5
1,11,1995,72.4,46.9
1,12,1995,71.6,54.2
1,13,1995,60.5,58.1
1,14,1995,53.3,65.2
1,15,1995,51.3,63.9
1,16,1995,56.1,54
1,17,1995,62.8,48.7
1,18,1995,65.4,45.5
1,19,1995,48.6,49
1,20,1995,52,45.6
1,21,1995,52.4,42.1
1,22,1995,58.1,38.3
1,23,1995,46.8,35.6
1,24,1995,42.9,32.9
1,25,1995,55.2,34.8
1,26,1995,61.7,38.6
1,27,1995,69.1,34.1
1,28,1995,62.4,43.8
1,29,1995,49.8,33.2
1,30,1995,46.5,32.2
1,31,1995,47.1,37.9
2,1,1995,55.7,42.4
2,2,1995,58.9,47.1
2,3,1995,66.3,42.4
2,4,1995,55.7,41.9
2,5,1995,56.5,31.9
2,6,1995,54.2,23.5
2,7,1995,53.6,26.4
2,8,1995,45.6,29.4
2,9,1995,53,24.4
2,10,1995,67.6,33.6
2,11,1995,64.9,40.8
2,12,1995,41.5,38
2,13,1995,44.6,28.8
2,14,1995,49.8,36.6
2,15,1995,66.7,35.5
2,16,1995,64.5,43.8
2,17,1995,52.9,43.9
2,18,1995,52.1,40.1
2,19,1995,61.4,46.1
2,20,1995,60.9,51.9
2,21,1995,60.9,49.2
2,22,1995,59.2,39.2
2,23,1995,65.9,53
2,24,1995,64.2,52.9
2,25,1995,58.4,39.3
2,26,1995,63.2,50.7
2,27,1995,70.5,54.2
2,28,1995,64.7,60.3
3,1,1995,53.6,51.8
3,2,1995,48.5,44
3,3,1995,44.3,39.1
3,4,1995,48.5,35.9
3,5,1995,59.5,44.7
3,6,1995,68.5,51.1
3,7,1995,60.7,59.6
3,8,1995,43.2,63.8
3,9,1995,46.7,39.3
3,10,1995,52,35.7
3,11,1995,59.2,46.5
3,12,1995,66.9,55.9
3,13,1995,65.4,58
3,14,1995,61.2,60
3,15,1995,59.5,58.1
3,16,1995,58.9,61.7
3,17,1995,62,65.1
3,18,1995,65.4,57
3,19,1995,68.4,48.4
3,20,1995,71.3,53.8
3,21,1995,74,62.2
3,22,1995,75,63.8
3,23,1995,76.5,58.8
3,24,1995,73.4,53.3
3,25,1995,72.7,51.1
3,26,1995,75.9,53.4
3,27,1995,70.5,57.2
3,28,1995,65.6,56.9
3,29,1995,54.2,53.2
3,30,1995,58.3,55.1
3,31,1995,61.8,53.4
4,1,1995,60.6,50.2
4,2,1995,61.4,51
4,3,1995,64.5,50.1
4,4,1995,65.3,61
4,5,1995,63.8,54.7
4,6,1995,61,49.7
4,7,1995,65.4,58.8
4,8,1995,71.9,67.2
4,9,1995,73.7,70.4
4,10,1995,74.4,63.8
4,11,1995,61.8,51.9
4,12,1995,62.1,63.5
4,13,1995,67.7,67.3
4,14,1995,67.4,56.6
4,15,1995,70.3,54.7
4,16,1995,75.1,62.3
4,17,1995,76.2,67
4,18,1995,75.1,64.1
4,19,1995,76.5,74.9
4,20,1995,74.5,76.1
4,21,1995,67.8,73.1
4,22,1995,77.9,71.1
4,23,1995,62.1,57.9
4,24,1995,57.4,48.6
4,25,1995,61.3,53.6
4,26,1995,65.6,56.7
4,27,1995,69.1,61.3
4,28,1995,70.3,65.4
4,29,1995,74.4,60.9
4,30,1995,77.2,64.4
5,1,1995,76.2,58.9
5,2,1995,66.9,54.2
5,3,1995,71.5,54.1
5,4,1995,79.1,59.1
5,5,1995,77.9,63.9
5,6,1995,78.8,62.2
5,7,1995,79.2,61.2
5,8,1995,72.7,63.2
5,9,1995,73.3,64
5,10,1995,79.1,71.4
5,11,1995,74,73.8
5,12,1995,75.1,69
5,13,1995,83,66.7
5,14,1995,84.5,70.1
5,15,1995,83.4,72.7
5,16,1995,82.6,71.1
5,17,1995,82.6,73.4
5,18,1995,81.1,80.1
5,19,1995,69.4,73.8
5,20,1995,70.5,65.4
5,21,1995,73.5,66.7
5,22,1995,76.2,69.8
5,23,1995,79.2,70.6
5,24,1995,80.4,72.2
5,25,1995,78.4,75.5
5,26,1995,80.1,77
5,27,1995,80.7,68.1
5,28,1995,83.8,61.3
5,29,1995,74.5,74.4
5,30,1995,73.1,75.7
5,31,1995,76,69.1
6,1,1995,75.3,70.7
6,2,1995,80.3,73.9
6,3,1995,81.9,73.1
6,4,1995,80.3,75.7
6,5,1995,81.3,73.1
6,6,1995,81.9,69.9
6,7,1995,84.9,74.3
6,8,1995,84.9,80
6,9,1995,85.5,78.6
6,10,1995,85.8,76.1
6,11,1995,77.9,75.9
6,12,1995,72.2,73.7
6,13,1995,73,65.1
6,14,1995,75.6,67
6,15,1995,77.5,70.1
6,16,1995,77.4,71.1
6,17,1995,79.7,69.1
6,18,1995,78.4,70
6,19,1995,80.1,69.1
6,20,1995,81,71.1
6,21,1995,81.1,70.4
6,22,1995,83,72.4
6,23,1995,83.4,74.4
6,24,1995,83.8,73.6
6,25,1995,85,73.8
6,26,1995,83.3,75.1
6,27,1995,84.6,75.7
6,28,1995,82.9,76.3
6,29,1995,75.3,71.1
6,30,1995,74.3,73.7
7,1,1995,78.4,75.9
7,2,1995,81.8,74.9
7,3,1995,82.7,74.5
7,4,1995,82.4,76.6
7,5,1995,82.6,76.8
7,6,1995,78.8,79
7,7,1995,83.2,74.8
7,8,1995,83,76.1
7,9,1995,82.4,74.2
7,10,1995,83.1,75.4
7,11,1995,83.9,76.8
7,12,1995,86.2,78.9
7,13,1995,85,77.9
7,14,1995,80,78.2
7,15,1995,79.2,82
7,16,1995,79.8,83.7
7,17,1995,81.9,80.3
7,18,1995,85.4,81.2
7,19,1995,80.8,80
7,20,1995,85.2,79.9
7,21,1995,87.7,80.5
7,22,1995,88.5,79.2
7,23,1995,87.7,82.5
7,24,1995,88,83.9
7,25,1995,88.8,80
7,26,1995,88.8,81.8
7,27,1995,88.4,82.4
7,28,1995,88.4,80.8
7,29,1995,82.8,81.7
7,30,1995,78.4,81.7
7,31,1995,80.9,80.8
8,1,1995,81.2,82.7
8,2,1995,79.7,83.5
8,3,1995,81.9,82.9
8,4,1995,85.7,83.5
8,5,1995,86.1,83.7
8,6,1995,84.3,83.4
8,7,1995,83,77.6
8,8,1995,84.7,71.4
8,9,1995,83.6,71.9
8,10,1995,84.3,75.4
8,11,1995,83.9,76.2
8,12,1995,84.1,80.9
8,13,1995,83.7,85.6
8,14,1995,80.9,86.8
8,15,1995,83.4,84.8
8,16,1995,82.3,81
8,17,1995,84.2,83.7
8,18,1995,85.1,85.5
8,19,1995,83.1,78.9
8,20,1995,87.2,76.2
8,21,1995,87.6,77.4
8,22,1995,84.3,82.4
8,23,1995,82,81.2
8,24,1995,81.7,77.9
8,25,1995,81.7,79.3
8,26,1995,85.3,73.1
8,27,1995,86,74.6
8,28,1995,83.8,75.8
8,29,1995,86,74.1
8,30,1995,85.3,73.6
8,31,1995,79.8,76.2
9,1,1995,83.2,77.6
9,2,1995,86,71.3
9,3,1995,87,68.6
9,4,1995,85.3,69.3
9,5,1995,84.7,69.3
9,6,1995,83.4,70
9,7,1995,82.1,71.2
9,8,1995,84.3,74.1
9,9,1995,83.6,74.1
9,10,1995,81.2,72.8
9,11,1995,82,69.7
9,12,1995,83.6,71.4
9,13,1995,82.1,73
9,14,1995,85.7,77.5
9,15,1995,84.5,75.5
9,16,1995,85.6,70.3
9,17,1995,84.5,73
9,18,1995,79.3,69.3
9,19,1995,84.8,68.1
9,20,1995,84,69.2
9,21,1995,77.9,71.5
9,22,1995,63.8,75.1
9,23,1995,63.5,56.3
9,24,1995,68.3,55.3
9,25,1995,73.9,60.5
9,26,1995,76.6,65.2
