gamenumber,Period,Weekend,VisitingTeam,fraction
1,First,no,BOS,0.9840803400758894
2,First,no,BOS,0.2938004621836752
3,First,yes,NYN,0.43836124504293744
4,First,yes,NYN,0.5753045562180822
5,First,yes,NYN,0.5027246012952555
6,First,no,SEA,0.2679809420558615
7,First,no,SEA,0.2821602807337879
8,First,no,SEA,0.3288065961028216
9,First,no,DET,0.3144560782859262
10,First,no,DET,0.25009272203360816
11,First,no,DET,0.295284014721406
12,First,yes,KCA,0.3876351601951442
13,First,yes,KCA,0.4936235770734073
14,First,yes,KCA,0.41262731448460815
15,First,yes,MIN,0.507917035177313
16,First,yes,MIN,0.4401586260021112
17,First,yes,MIN,0.37762118056546173
18,First,no,CIN,0.34760777153290917
19,First,no,CIN,0.3735984707996919
20,First,yes,BAL,0.6006675986419788
21,First,yes,BAL,0.6022652706056889
22,First,yes,BAL,0.5296567858263673
23,First,no,TEX,0.4140823371658441
24,First,no,TEX,0.29750934352800207
25,First,no,TEX,0.30024820975150496
26,First,no,KCA,0.3175658326438618
27,First,yes,KCA,0.7061995378163248
28,Second,yes,KCA,0.6635474023565662
29,Second,yes,KCA,0.47778950671878123
30,Second,yes,CHA,0.796325354483467
31,Second,yes,CHA,0.886308521868135
32,Second,yes,CHA,0.7209209437676528
33,Second,no,TBA,0.3940258480499843
34,Second,no,TBA,0.4458931271575704
35,Second,no,TBA,0.6052894353941399
36,Second,no,DET,0.9746654874325982
37,Second,no,DET,0.554848649111295
38,Second,no,DET,0.6875124818122165
39,Second,no,NYA,0.680380017688511
40,Second,yes,NYA,0.9712989643662092
41,Second,yes,NYA,0.9400873013608742
42,Second,yes,NYA,0.8299049955778722
43,Second,no,WAS,0.6764714273487205
44,Second,no,WAS,0.7590938917577245
45,Second,yes,OAK,0.9453082650994266
46,Second,yes,OAK,0.9372057858548971
47,Second,yes,OAK,0.6772702633305755
48,Second,no,MIN,0.42846138483923424
49,Second,no,MIN,0.4517702775955037
50,Second,no,MIN,0.49002881515505975
51,Second,no,MIN,0.5475735357051154
52,Second,no,ANA,0.4750791703517731
53,Second,yes,ANA,0.770705543351117
54,Second,yes,ANA,0.867564406151037
55,Third,yes,ANA,0.5414681464152236
56,Third,no,BOS,0.5470314684317138
57,Third,no,CHA,0.3953382214487461
58,Third,no,CHA,0.41000256768708454
59,Third,no,CHA,0.370374597015777
60,Third,yes,TOR,0.8748680494137114
61,Third,yes,TOR,0.9587172976519928
62,Third,yes,TOR,0.7616330489857636
63,Third,no,MIN,0.3231576845168469
64,Third,no,MIN,0.3405608969786882
65,Third,no,MIN,0.3369661350603406
66,Third,yes,MIA,0.696556446321075
67,Third,yes,MIA,0.7840860460471883
68,Third,yes,MIA,0.7392085817808336
69,Third,no,HOU,0.37265698553536275
70,Third,no,HOU,0.314484608142421
71,Third,no,HOU,0.34415565889703575
72,Third,no,HOU,0.43579355795840347
73,Third,yes,DET,0.8312744286896236
74,Third,yes,DET,0.7604347950129811
75,Third,yes,DET,0.6100253915722804
76,Third,no,KCA,0.3886622350289578
77,Third,no,KCA,0.3962226470000856
78,Third,no,KCA,0.4351659011155174
79,Third,yes,CHA,0.5402698924424411
80,Third,yes,CHA,0.9154660352058429
81,Third,yes,CHA,0.688083078942113
